	DBA_A	DBA_B	DBA_C	Control_A	Control_B	Control_C	Control_D	Control_E	Control_F
APLP1	0.932152959045132	0.876784698930642	0.959060221592614	0.928104678714774	0.971362267457811	0.907124248943602	0.954617421154225	0.98686693168518	0.938863590231452
APLP2	4.47656780295251	4.24231164797247	4.04734116906366	4.18501727443067	4.06105725006949	4.40146349455384	3.90094624993115	4.14119300039768	3.84409369087647
APMAP	3.86563133219327	3.86322888201538	3.70331548504151	3.36822647790815	3.87473571990661	3.31881166020884	3.58067326392943	3.67754300176335	3.94564874388755
APOA1	0.971534274163966	0.862137688632286	0.922852916332868	0.980242853137707	0.957659777929982	1.01865439387881	0.949560152586668	0.94044930491158	0.952848982109281
APOA2	0.848433325454915	0.848333005988077	0.875160040083208	0.83188965534392	0.874662625995306	0.83348425428513	0.848353692770927	0.838677444174478	0.860464891071386
APOA4	1.08103108211118	1.07642800372086	1.04006140295329	1.10474167799566	1.05693806950093	1.08781286188157	1.06216869293744	1.06111839547856	1.07153260038006
APOB	0.868525123329774	0.861151366049226	0.894154097959087	0.883445030432878	0.865926130442829	0.868851975683169	0.882824831495622	0.841095546152459	0.863761674476175
APOBEC1	0.907563333477753	0.836008632439558	0.873891165926113	0.873962843492327	0.836492193862535	0.903132729131425	0.892431004488233	0.840157638036553	0.882251104078516
APOBEC2	0.970535427799393	0.996079427952029	1.01854232045278	1.14605601279538	0.956935901329231	1.03847396590227	0.999818742268017	0.977528927520572	0.971471409798673
APOBEC3C	1.89325962817365	1.65946494696646	1.75066478180052	1.83480119225883	1.87218956976096	1.78089435943545	1.93428415966546	1.73377438449842	1.81984904989891
APOBEC3G	1.81702126575045	1.79229540779748	1.93845424785292	1.81705368881986	1.85084577843652	2.26072480169252	1.82868833978908	1.61912096568434	1.66692993352547
APOBR	0.965692842663936	0.909505545104645	0.940042036072887	0.922893804419469	0.950196845412608	0.912230250761975	0.924080705282289	0.953935523062456	0.93848091459049
